[2025-02-12_11-29-04-497] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-29-04-497.wav
[2025-02-12_11-49-11-084] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-11-084.wav
[2025-02-12_11-49-16-161] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-16-161.wav
[2025-02-12_11-49-21-196] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-21-196.wav
[2025-02-12_11-49-26-273] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-26-273.wav
[2025-02-12_11-49-31-308] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-31-308.wav
[2025-02-12_11-49-36-385] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-36-385.wav
[2025-02-12_11-49-41-419] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-41-419.wav
[2025-02-12_11-49-46-497] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-46-497.wav
[2025-02-12_11-49-51-531] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-51-531.wav
[2025-02-12_11-49-56-609] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-49-56-609.wav
[2025-02-12_11-50-01-643] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-01-643.wav
[2025-02-12_11-50-06-720] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-06-720.wav
[2025-02-12_11-50-11-755] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-11-755.wav
[2025-02-12_11-50-16-832] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-16-832.wav
[2025-02-12_11-50-21-867] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-21-867.wav
[2025-02-12_11-50-26-944] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-26-944.wav
[2025-02-12_11-50-31-978] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-31-978.wav
[2025-02-12_11-50-37-056] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-37-056.wav
[2025-02-12_11-50-42-091] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-42-091.wav
[2025-02-12_11-50-47-168] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-47-168.wav
[2025-02-12_11-50-52-203] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-52-203.wav
[2025-02-12_11-50-57-280] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-50-57-280.wav
[2025-02-12_11-51-02-314] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-02-314.wav
[2025-02-12_11-51-07-392] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-07-392.wav
[2025-02-12_11-51-12-426] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-12-426.wav
[2025-02-12_11-51-17-504] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-17-504.wav
[2025-02-12_11-51-22-538] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-22-538.wav
[2025-02-12_11-51-27-615] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-27-615.wav
[2025-02-12_11-51-32-650] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-32-650.wav
[2025-02-12_11-51-37-727] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-37-727.wav
[2025-02-12_11-51-42-762] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-42-762.wav
[2025-02-12_11-51-47-839] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-47-839.wav
[2025-02-12_11-51-52-874] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-52-874.wav
[2025-02-12_11-51-57-951] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-51-57-951.wav
[2025-02-12_11-52-02-986] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-02-986.wav
[2025-02-12_11-52-08-063] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-08-063.wav
[2025-02-12_11-52-13-098] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-13-098.wav
[2025-02-12_11-52-18-174] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-18-174.wav
[2025-02-12_11-52-23-210] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-23-210.wav
[2025-02-12_11-52-28-287] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-28-287.wav
[2025-02-12_11-52-33-321] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-33-321.wav
[2025-02-12_11-52-38-399] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-38-399.wav
[2025-02-12_11-52-43-433] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-43-433.wav
[2025-02-12_11-52-48-511] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-48-511.wav
[2025-02-12_11-52-53-545] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-53-545.wav
[2025-02-12_11-52-58-622] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-52-58-622.wav
[2025-02-12_11-53-03-657] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-03-657.wav
[2025-02-12_11-53-08-734] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-08-734.wav
[2025-02-12_11-53-13-769] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-13-769.wav
[2025-02-12_11-53-18-846] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-18-846.wav
[2025-02-12_11-53-23-881] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-23-881.wav
[2025-02-12_11-53-28-958] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-28-958.wav
[2025-02-12_11-53-33-993] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-33-993.wav
[2025-02-12_11-53-39-070] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-39-070.wav
[2025-02-12_11-53-44-105] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-44-105.wav
[2025-02-12_11-53-49-182] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-49-182.wav
[2025-02-12_11-53-54-217] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-54-217.wav
[2025-02-12_11-53-59-294] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-53-59-294.wav
[2025-02-12_11-54-04-328] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-04-328.wav
[2025-02-12_11-54-09-406] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-09-406.wav
[2025-02-12_11-54-14-440] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-14-440.wav
[2025-02-12_11-54-19-518] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-19-518.wav
[2025-02-12_11-54-24-552] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-24-552.wav
[2025-02-12_11-54-29-630] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-29-630.wav
[2025-02-12_11-54-34-664] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-34-664.wav
[2025-02-12_11-54-39-741] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-39-741.wav
[2025-02-12_11-54-44-776] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-44-776.wav
[2025-02-12_11-54-49-853] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-49-853.wav
[2025-02-12_11-54-54-888] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-54-888.wav
[2025-02-12_11-54-59-965] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-54-59-965.wav
[2025-02-12_11-55-05-000] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-05-000.wav
[2025-02-12_11-55-10-077] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-10-077.wav
[2025-02-12_11-55-15-112] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-15-112.wav
[2025-02-12_11-55-20-189] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-20-189.wav
[2025-02-12_11-55-25-224] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-25-224.wav
[2025-02-12_11-55-30-301] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-30-301.wav
[2025-02-12_11-55-35-336] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-35-336.wav
[2025-02-12_11-55-40-413] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-40-413.wav
[2025-02-12_11-55-45-447] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-45-447.wav
[2025-02-12_11-55-50-525] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-50-525.wav
[2025-02-12_11-55-55-559] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-55-55-559.wav
[2025-02-12_11-56-00-637] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-00-637.wav
[2025-02-12_11-56-05-671] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-05-671.wav
[2025-02-12_11-56-10-749] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-10-749.wav
[2025-02-12_11-56-15-783] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-15-783.wav
[2025-02-12_11-56-20-861] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-20-861.wav
[2025-02-12_11-56-25-895] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-25-895.wav
[2025-02-12_11-56-30-973] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-30-973.wav
[2025-02-12_11-56-36-007] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-36-007.wav
[2025-02-12_11-56-41-085] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-41-085.wav
[2025-02-12_11-56-46-119] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-46-119.wav
[2025-02-12_11-56-51-196] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-51-196.wav
[2025-02-12_11-56-56-231] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-56-56-231.wav
[2025-02-12_11-57-01-308] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-01-308.wav
[2025-02-12_11-57-06-343] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-06-343.wav
[2025-02-12_11-57-11-420] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-11-420.wav
[2025-02-12_11-57-16-455] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-16-455.wav
[2025-02-12_11-57-21-532] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-21-532.wav
[2025-02-12_11-57-26-567] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-26-567.wav
[2025-02-12_11-57-31-644] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-31-644.wav
[2025-02-12_11-57-36-679] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-36-679.wav
[2025-02-12_11-57-41-756] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-41-756.wav
[2025-02-12_11-57-46-791] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-46-791.wav
[2025-02-12_11-57-51-868] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-51-868.wav
[2025-02-12_11-57-56-903] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-57-56-903.wav
[2025-02-12_11-58-01-980] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-01-980.wav
[2025-02-12_11-58-07-015] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-07-015.wav
[2025-02-12_11-58-12-092] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-12-092.wav
[2025-02-12_11-58-17-127] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-17-127.wav
[2025-02-12_11-58-22-204] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-22-204.wav
[2025-02-12_11-58-27-238] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-27-238.wav
[2025-02-12_11-58-32-316] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-32-316.wav
[2025-02-12_11-58-37-350] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-37-350.wav
[2025-02-12_11-58-42-428] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-42-428.wav
[2025-02-12_11-58-47-462] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-47-462.wav
[2025-02-12_11-58-52-540] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-52-540.wav
[2025-02-12_11-58-57-574] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-58-57-574.wav
[2025-02-12_11-59-02-652] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-02-652.wav
[2025-02-12_11-59-07-686] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-07-686.wav
[2025-02-12_11-59-12-764] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-12-764.wav
[2025-02-12_11-59-17-798] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-17-798.wav
[2025-02-12_11-59-22-875] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-22-875.wav
[2025-02-12_11-59-27-910] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-27-910.wav
[2025-02-12_11-59-32-988] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-32-988.wav
[2025-02-12_11-59-38-022] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-38-022.wav
[2025-02-12_11-59-43-099] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-43-099.wav
[2025-02-12_11-59-48-134] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-48-134.wav
[2025-02-12_11-59-53-211] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-53-211.wav
[2025-02-12_11-59-58-246] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-59-58-246.wav
[2025-02-12_12-00-03-323] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-03-323.wav
[2025-02-12_12-00-08-358] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-08-358.wav
[2025-02-12_12-00-13-435] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-13-435.wav
[2025-02-12_12-00-18-470] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-18-470.wav
[2025-02-12_12-00-23-547] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-23-547.wav
[2025-02-12_12-00-28-582] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-28-582.wav
[2025-02-12_12-00-33-659] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-33-659.wav
[2025-02-12_12-00-38-694] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-38-694.wav
[2025-02-12_12-00-43-771] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-43-771.wav
[2025-02-12_12-00-48-806] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-48-806.wav
[2025-02-12_12-00-53-883] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-53-883.wav
[2025-02-12_12-00-58-918] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-00-58-918.wav
[2025-02-12_12-01-03-995] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-03-995.wav
[2025-02-12_12-01-09-030] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-09-030.wav
[2025-02-12_12-01-14-107] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-14-107.wav
[2025-02-12_12-01-19-142] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-19-142.wav
[2025-02-12_12-01-24-219] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-24-219.wav
[2025-02-12_12-01-29-254] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-29-254.wav
[2025-02-12_12-01-34-331] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-34-331.wav
[2025-02-12_12-01-39-366] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-39-366.wav
[2025-02-12_12-01-44-443] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-44-443.wav
[2025-02-12_12-01-49-478] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-49-478.wav
[2025-02-12_12-01-54-555] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-54-555.wav
[2025-02-12_12-01-59-589] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-01-59-589.wav
[2025-02-12_12-02-04-667] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-04-667.wav
[2025-02-12_12-02-09-701] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-09-701.wav
[2025-02-12_12-02-14-779] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-14-779.wav
[2025-02-12_12-02-19-813] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-19-813.wav
[2025-02-12_12-02-24-891] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-24-891.wav
[2025-02-12_12-02-29-925] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-29-925.wav
[2025-02-12_12-02-35-003] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-35-003.wav
[2025-02-12_12-02-40-037] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-40-037.wav
[2025-02-12_12-02-45-115] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-45-115.wav
[2025-02-12_12-02-50-149] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-50-149.wav
[2025-02-12_12-02-55-227] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-02-55-227.wav
[2025-02-12_12-03-00-261] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-00-261.wav
[2025-02-12_12-03-05-339] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-05-339.wav
[2025-02-12_12-03-10-373] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-10-373.wav
[2025-02-12_12-03-15-450] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-15-450.wav
[2025-02-12_12-03-20-485] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-20-485.wav
[2025-02-12_12-03-25-562] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-25-562.wav
[2025-02-12_12-03-30-597] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-30-597.wav
[2025-02-12_12-03-35-674] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-35-674.wav
[2025-02-12_12-03-40-709] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-40-709.wav
[2025-02-12_12-03-52-105] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-52-105.wav
[2025-02-12_12-03-53-437] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-53-437.wav
[2025-02-12_12-03-55-898] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-03-55-898.wav
[2025-02-12_12-04-00-933] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-00-933.wav
[2025-02-12_12-04-06-010] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-06-010.wav
[2025-02-12_12-04-11-045] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-11-045.wav
[2025-02-12_12-04-16-122] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-16-122.wav
[2025-02-12_12-04-21-157] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-21-157.wav
[2025-02-12_12-04-26-234] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-26-234.wav
[2025-02-12_12-04-31-269] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-31-269.wav
[2025-02-12_12-04-36-346] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-36-346.wav
[2025-02-12_12-04-41-381] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-41-381.wav
[2025-02-12_12-04-46-458] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-46-458.wav
[2025-02-12_12-04-51-493] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-51-493.wav
[2025-02-12_12-04-56-570] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-04-56-570.wav
[2025-02-12_12-05-01-605] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-05-01-605.wav
[2025-02-12_12-05-06-682] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_12-05-06-682.wav
