[2025-02-12_13-20-12-028] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-20-12-028.wav
[2025-02-12_14-29-06-850] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-06-850.wav
[2025-02-12_14-29-11-906] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-11-906.wav
[2025-02-12_14-29-16-962] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-16-962.wav
[2025-02-12_14-29-22-019] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-22-019.wav
[2025-02-12_14-29-27-075] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-27-075.wav
[2025-02-12_14-29-32-131] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-32-131.wav
[2025-02-12_14-29-37-187] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-37-187.wav
[2025-02-12_14-29-42-243] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-42-243.wav
[2025-02-12_14-29-47-299] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-47-299.wav
[2025-02-12_14-29-52-355] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-52-355.wav
[2025-02-12_14-29-57-412] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-29-57-412.wav
[2025-02-12_14-30-02-468] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-02-468.wav
[2025-02-12_14-30-07-524] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-07-524.wav
[2025-02-12_14-30-12-580] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-12-580.wav
[2025-02-12_14-30-17-636] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-17-636.wav
[2025-02-12_14-30-22-692] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-22-692.wav
[2025-02-12_14-30-27-749] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-27-749.wav
[2025-02-12_14-30-32-805] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-32-805.wav
[2025-02-12_14-30-37-861] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-37-861.wav
[2025-02-12_14-30-42-917] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-42-917.wav
[2025-02-12_14-30-47-973] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-47-973.wav
[2025-02-12_14-30-53-029] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-53-029.wav
[2025-02-12_14-30-58-085] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-30-58-085.wav
[2025-02-12_14-31-03-142] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-03-142.wav
[2025-02-12_14-31-08-198] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-08-198.wav
[2025-02-12_14-31-13-254] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-13-254.wav
[2025-02-12_14-31-18-310] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-18-310.wav
[2025-02-12_14-31-23-366] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-23-366.wav
[2025-02-12_14-31-28-422] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-28-422.wav
[2025-02-12_14-31-33-479] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-33-479.wav
[2025-02-12_14-31-38-535] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-38-535.wav
[2025-02-12_14-31-43-591] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-43-591.wav
[2025-02-12_14-31-48-647] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-48-647.wav
[2025-02-12_14-31-53-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-53-703.wav
[2025-02-12_14-31-58-759] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-31-58-759.wav
[2025-02-12_14-32-03-815] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-03-815.wav
[2025-02-12_14-32-08-872] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-08-872.wav
[2025-02-12_14-32-13-928] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-13-928.wav
[2025-02-12_14-32-18-984] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-18-984.wav
[2025-02-12_14-32-24-040] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-24-040.wav
[2025-02-12_14-32-29-096] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-29-096.wav
[2025-02-12_14-32-34-152] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-34-152.wav
[2025-02-12_14-32-39-208] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-39-208.wav
[2025-02-12_14-32-44-265] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-44-265.wav
[2025-02-12_14-32-49-321] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-49-321.wav
[2025-02-12_14-32-54-377] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-54-377.wav
[2025-02-12_14-32-59-433] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-32-59-433.wav
[2025-02-12_14-33-04-489] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-04-489.wav
[2025-02-12_14-33-09-545] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-09-545.wav
[2025-02-12_14-33-14-601] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-14-601.wav
[2025-02-12_14-33-19-658] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-19-658.wav
[2025-02-12_14-33-24-714] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-24-714.wav
[2025-02-12_14-33-29-770] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-29-770.wav
[2025-02-12_14-33-34-826] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-34-826.wav
[2025-02-12_14-33-39-882] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-39-882.wav
[2025-02-12_14-33-44-938] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-44-938.wav
[2025-02-12_14-33-49-994] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-49-994.wav
[2025-02-12_14-33-55-051] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-33-55-051.wav
[2025-02-12_14-34-00-107] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-00-107.wav
[2025-02-12_14-34-05-163] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-05-163.wav
[2025-02-12_14-34-10-219] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-10-219.wav
[2025-02-12_14-34-15-275] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-15-275.wav
[2025-02-12_14-34-20-331] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-20-331.wav
[2025-02-12_14-34-25-387] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-25-387.wav
[2025-02-12_14-34-30-444] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-30-444.wav
[2025-02-12_14-34-35-500] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-35-500.wav
[2025-02-12_14-34-40-556] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-40-556.wav
[2025-02-12_14-34-45-612] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-45-612.wav
[2025-02-12_14-34-50-668] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-50-668.wav
[2025-02-12_14-34-55-724] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-34-55-724.wav
[2025-02-12_14-35-00-780] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-00-780.wav
[2025-02-12_14-35-05-836] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-05-836.wav
[2025-02-12_14-35-10-893] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-10-893.wav
[2025-02-12_14-35-15-949] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-15-949.wav
[2025-02-12_14-35-21-005] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-21-005.wav
[2025-02-12_14-35-26-061] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-26-061.wav
[2025-02-12_14-35-31-117] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-31-117.wav
[2025-02-12_14-35-36-173] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-36-173.wav
[2025-02-12_14-35-41-229] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-41-229.wav
[2025-02-12_14-35-46-285] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-46-285.wav
[2025-02-12_14-35-51-342] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-51-342.wav
[2025-02-12_14-35-56-397] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-35-56-397.wav
[2025-02-12_14-36-01-454] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-01-454.wav
[2025-02-12_14-36-06-510] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-06-510.wav
[2025-02-12_14-36-11-566] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-11-566.wav
[2025-02-12_14-36-16-622] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-16-622.wav
[2025-02-12_14-36-21-678] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-21-678.wav
[2025-02-12_14-36-26-734] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-26-734.wav
[2025-02-12_14-36-31-791] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-31-791.wav
[2025-02-12_14-36-36-847] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-36-847.wav
[2025-02-12_14-36-41-903] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-41-903.wav
[2025-02-12_14-36-46-959] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-46-959.wav
[2025-02-12_14-36-52-015] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-52-015.wav
[2025-02-12_14-36-57-071] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-36-57-071.wav
[2025-02-12_14-37-02-127] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-02-127.wav
[2025-02-12_14-37-07-183] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-07-183.wav
[2025-02-12_14-37-12-240] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-12-240.wav
[2025-02-12_14-37-17-296] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-17-296.wav
[2025-02-12_14-37-22-352] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-22-352.wav
[2025-02-12_14-37-27-408] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-27-408.wav
[2025-02-12_14-37-32-464] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-32-464.wav
[2025-02-12_14-37-37-520] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-37-520.wav
[2025-02-12_14-37-42-576] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-42-576.wav
[2025-02-12_14-37-47-632] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-47-632.wav
[2025-02-12_14-37-52-689] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-52-689.wav
[2025-02-12_14-37-57-745] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-37-57-745.wav
[2025-02-12_14-38-02-801] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-02-801.wav
[2025-02-12_14-38-07-857] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-07-857.wav
[2025-02-12_14-38-12-913] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-12-913.wav
[2025-02-12_14-38-17-969] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-17-969.wav
[2025-02-12_14-38-23-025] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-23-025.wav
[2025-02-12_14-38-28-081] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-28-081.wav
[2025-02-12_14-38-33-138] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-33-138.wav
[2025-02-12_14-38-38-194] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-38-194.wav
[2025-02-12_14-38-43-250] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-43-250.wav
[2025-02-12_14-38-48-306] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-48-306.wav
[2025-02-12_14-38-53-362] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-53-362.wav
[2025-02-12_14-38-58-418] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-38-58-418.wav
[2025-02-12_14-39-03-474] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-03-474.wav
[2025-02-12_14-39-08-530] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-08-530.wav
[2025-02-12_14-39-13-587] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-13-587.wav
[2025-02-12_14-39-18-643] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-18-643.wav
[2025-02-12_14-39-23-699] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-23-699.wav
[2025-02-12_14-39-28-755] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-28-755.wav
[2025-02-12_14-39-33-811] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-33-811.wav
[2025-02-12_14-39-38-867] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-38-867.wav
[2025-02-12_14-39-43-923] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-43-923.wav
[2025-02-12_14-39-48-979] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-48-979.wav
[2025-02-12_14-39-54-035] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-54-035.wav
[2025-02-12_14-39-59-092] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-39-59-092.wav
[2025-02-12_14-40-04-148] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-04-148.wav
[2025-02-12_14-40-09-204] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-09-204.wav
[2025-02-12_14-40-14-260] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-14-260.wav
[2025-02-12_14-40-19-316] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-19-316.wav
[2025-02-12_14-40-24-372] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-24-372.wav
[2025-02-12_14-40-29-428] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-29-428.wav
[2025-02-12_14-40-34-484] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-34-484.wav
[2025-02-12_14-40-39-541] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-39-541.wav
[2025-02-12_14-40-44-597] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-44-597.wav
[2025-02-12_14-40-49-653] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-49-653.wav
[2025-02-12_14-40-54-709] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-54-709.wav
[2025-02-12_14-40-59-765] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-40-59-765.wav
[2025-02-12_14-41-04-821] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-04-821.wav
[2025-02-12_14-41-09-877] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-09-877.wav
[2025-02-12_14-41-14-933] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-14-933.wav
[2025-02-12_14-41-19-989] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-19-989.wav
[2025-02-12_14-41-25-046] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-25-046.wav
[2025-02-12_14-41-30-102] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-30-102.wav
[2025-02-12_14-41-35-158] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-35-158.wav
[2025-02-12_14-41-40-214] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-40-214.wav
[2025-02-12_14-41-45-270] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-45-270.wav
[2025-02-12_14-41-50-326] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-50-326.wav
[2025-02-12_14-41-55-382] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-41-55-382.wav
[2025-02-12_14-42-00-438] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-00-438.wav
[2025-02-12_14-42-05-494] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-05-494.wav
[2025-02-12_14-42-10-551] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-10-551.wav
[2025-02-12_14-42-15-607] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-15-607.wav
[2025-02-12_14-42-20-663] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-20-663.wav
[2025-02-12_14-42-25-719] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-25-719.wav
[2025-02-12_14-42-30-775] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-30-775.wav
[2025-02-12_14-42-35-831] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-35-831.wav
[2025-02-12_14-42-40-887] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-40-887.wav
[2025-02-12_14-42-45-943] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-45-943.wav
[2025-02-12_14-42-50-999] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-50-999.wav
[2025-02-12_14-42-56-056] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-42-56-056.wav
[2025-02-12_14-43-01-112] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-01-112.wav
[2025-02-12_14-43-06-168] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-06-168.wav
[2025-02-12_14-43-11-224] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-11-224.wav
[2025-02-12_14-43-16-280] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-16-280.wav
[2025-02-12_14-43-21-336] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-21-336.wav
[2025-02-12_14-43-26-392] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-26-392.wav
[2025-02-12_14-43-31-448] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-31-448.wav
[2025-02-12_14-43-36-505] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-36-505.wav
[2025-02-12_14-43-41-561] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-41-561.wav
[2025-02-12_14-43-46-617] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-46-617.wav
[2025-02-12_14-43-51-673] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-51-673.wav
[2025-02-12_14-43-56-729] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-43-56-729.wav
[2025-02-12_14-44-01-785] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-01-785.wav
[2025-02-12_14-44-06-841] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-06-841.wav
[2025-02-12_14-44-11-897] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-11-897.wav
[2025-02-12_14-44-16-953] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-16-953.wav
[2025-02-12_14-44-22-010] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-22-010.wav
[2025-02-12_14-44-27-066] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-27-066.wav
[2025-02-12_14-44-32-122] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-32-122.wav
[2025-02-12_14-44-37-178] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-37-178.wav
[2025-02-12_14-44-42-234] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-42-234.wav
[2025-02-12_14-44-47-290] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-47-290.wav
[2025-02-12_14-44-52-346] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-52-346.wav
[2025-02-12_14-44-57-402] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-44-57-402.wav
[2025-02-12_14-45-02-458] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_14-45-02-458.wav
