[2025-02-13_09-26-29-299] Confidence: 0.90 | Text: hello | Audio: audio_logs1/speech_2025-02-13_09-26-29-299.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(45.93045333719101), np.float64(18.589175602611167), np.float64(34.86374568271822), np.float64(6.29283376430806), np.float64(70.37847416864072), np.float64(197.681777906367), np.float64(180.6838936004774), np.float64(92.72888374532107), np.float64(49.54702446610369)] | Type: Normal Sound Range
[2025-02-13_10-48-33-111] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-33-111.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(6.726822299777582), np.float64(44.04983635015642), np.float64(34.71908283756171), np.float64(10.488056273846766), np.float64(21.410101083163056), np.float64(17.43187284135911), np.float64(28.281586228097144), np.float64(55.26120684978572), np.float64(50.34267011446448)] | Type: Normal Sound Range
[2025-02-13_10-48-38-124] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-38-124.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(34.50208856982695), np.float64(18.29984991229815), np.float64(5.7865138062602846), np.float64(10.415724851268513), np.float64(28.136923382940637), np.float64(23.652375183088914), np.float64(100.54067738377245), np.float64(50.415001537042734), np.float64(44.12216777273467)] | Type: Normal Sound Range
[2025-02-13_10-48-43-137] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-43-137.wav | Frequencies: [np.float64(0.650982803204282), np.float64(35.5147284859225), np.float64(4.773873890164735), np.float64(17.142547151046095), np.float64(10.198730583533752), np.float64(39.13129961483518), np.float64(25.460660747545255), np.float64(21.3377696605848), np.float64(44.04983635015642), np.float64(70.45080559121897)] | Type: Normal Sound Range
[2025-02-13_10-48-48-150] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-48-150.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(6.365165186886314), np.float64(34.71908283756171), np.float64(24.809677944340972), np.float64(18.2275184897199), np.float64(46.5814361403953), np.float64(12.224010415724852), np.float64(31.030180286070777), np.float64(53.23592701759462), np.float64(56.997160991663804)] | Type: Normal Sound Range
[2025-02-13_10-48-53-163] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-53-163.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(6.582159454621074), np.float64(21.410101083163056), np.float64(33.70644292146616), np.float64(56.273846765881274), np.float64(100.54067738377245), np.float64(44.411493463047684), np.float64(10.34339342869026), np.float64(15.985244389794037), np.float64(50.270338691886224)] | Type: Normal Sound Range
[2025-02-13_10-48-58-176] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-48-58-176.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(17.86586137682863), np.float64(33.99576861177918), np.float64(4.484548199851721), np.float64(55.550532540098736), np.float64(10.488056273846766), np.float64(27.051952044266834), np.float64(43.97750492757817), np.float64(66.61724019457154), np.float64(50.55966438219924)] | Type: Normal Sound Range
[2025-02-13_10-49-03-190] Confidence: 0.90 | Text: play Earth Wind & | Audio: audio_logs1/speech_2025-02-13_10-49-03-190.wav | Frequencies: [np.float64(0.650982803204282), np.float64(35.5147284859225), np.float64(4.412216777273468), np.float64(21.410101083163056), np.float64(100.54067738377245), np.float64(44.04983635015642), np.float64(9.837073470642485), np.float64(16.491564347841813), np.float64(26.111643550749537), np.float64(83.61512450046112)] | Type: Normal Sound Range
[2025-02-13_10-49-08-203] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-08-203.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(4.773873890164735), np.float64(21.410101083163056), np.float64(10.488056273846766), np.float64(32.838465850527115), np.float64(44.19449919531293), np.float64(27.341277734579847), np.float64(54.97188115947271), np.float64(14.755610205963727), np.float64(49.90868157899496)] | Type: Normal Sound Range
[2025-02-13_10-49-13-216] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-13-216.wav | Frequencies: [np.float64(0.506319958047775), np.float64(6.799153722355835), np.float64(21.410101083163056), np.float64(44.04983635015642), np.float64(10.415724851268513), np.float64(57.792806640024594), np.float64(33.05546011826188), np.float64(25.099003634653986), np.float64(15.695918699481023), np.float64(28.86023760872317)] | Type: Normal Sound Range
[2025-02-13_10-49-18-250] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-18-250.wav | Frequencies: [np.float64(0.650982803204282), np.float64(7.233142257825357), np.float64(32.25981446990109), np.float64(21.410101083163056), np.float64(11.573027612520569), np.float64(62.63901195276758), np.float64(55.26120684978572), np.float64(44.12216777273467), np.float64(26.473300663640803), np.float64(39.492956727726444)] | Type: Normal Sound Range
[2025-02-13_10-49-23-263] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-23-263.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(6.654490877199327), np.float64(21.3377696605848), np.float64(10.488056273846766), np.float64(33.99576861177918), np.float64(26.762626353953817), np.float64(56.8524981465073), np.float64(38.19099112131788), np.float64(44.12216777273467), np.float64(67.55754868808883)] | Type: Normal Sound Range
[2025-02-13_10-49-28-276] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-28-276.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(5.7865138062602846), np.float64(21.410101083163056), np.float64(43.97750492757817), np.float64(10.415724851268513), np.float64(34.71908283756171), np.float64(54.32089835626842), np.float64(27.485940579736354), np.float64(16.99788430588959), np.float64(48.89604166289941)] | Type: Normal Sound Range
[2025-02-13_10-49-33-290] Confidence: 0.90 | Text: set a timer | Audio: audio_logs1/speech_2025-02-13_10-49-33-290.wav | Frequencies: [np.float64(0.14466284515650712), np.float64(4.339885354695213), np.float64(21.410101083163056), np.float64(10.126399160955499), np.float64(44.33916204046943), np.float64(34.28509430209219), np.float64(55.7675268078335), np.float64(100.54067738377245), np.float64(145.38615938228966), np.float64(141.69725683079872)] | Type: Normal Sound Range
[2025-02-13_10-49-38-303] Confidence: 0.90 | Text: directions to | Audio: audio_logs1/speech_2025-02-13_10-49-38-303.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(4.629211045008228), np.float64(21.410101083163056), np.float64(10.415724851268513), np.float64(43.97750492757817), np.float64(57.06949241424206), np.float64(34.429757147248694), np.float64(49.33003019836893), np.float64(27.19661488942334), np.float64(73.41639391692736)] | Type: Normal Sound Range
[2025-02-13_10-49-43-315] Confidence: 0.90 | Text: 13 * 9 + 7 | Audio: audio_logs1/speech_2025-02-13_10-49-43-315.wav | Frequencies: [np.float64(0.14466284515650712), np.float64(6.437496609464567), np.float64(21.410101083163056), np.float64(44.33916204046943), np.float64(10.34339342869026), np.float64(57.06949241424206), np.float64(67.34055442035407), np.float64(33.778774344044415), np.float64(50.84899007251225), np.float64(26.40096924106255)] | Type: Normal Sound Range
[2025-02-13_10-49-48-329] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-48-329.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(6.003508073995046), np.float64(21.410101083163056), np.float64(17.793529954250378), np.float64(12.079347570568345), np.float64(28.281586228097144), np.float64(32.69380300537061), np.float64(54.39322977884668), np.float64(63.796314714019644), np.float64(40.93958517929152)] | Type: Normal Sound Range
[2025-02-13_10-49-53-342] Confidence: 0.90 | Text: set a timer for 9:23 a.m. tomorrow | Audio: audio_logs1/speech_2025-02-13_10-49-53-342.wav | Frequencies: [np.float64(0.506319958047775), np.float64(4.701542467586481), np.float64(21.410101083163056), np.float64(33.56178007630965), np.float64(43.905173504999915), np.float64(10.415724851268513), np.float64(50.487332959620986), np.float64(27.19661488942334), np.float64(66.11092023652375), np.float64(56.92482956908555)] | Type: Normal Sound Range
[2025-02-13_10-49-58-355] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-49-58-355.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(6.799153722355835), np.float64(21.410101083163056), np.float64(33.4894486537314), np.float64(10.488056273846766), np.float64(25.315997902388748), np.float64(43.97750492757817), np.float64(49.98101300157321), np.float64(54.46556120142493), np.float64(68.20853149129312)] | Type: Normal Sound Range
[2025-02-13_10-50-03-369] Confidence: 0.90 | Text: hey Google | Audio: audio_logs1/speech_2025-02-13_10-50-03-369.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(5.497188115947271), np.float64(21.410101083163056), np.float64(10.415724851268513), np.float64(55.18887542720747), np.float64(33.41711723115315), np.float64(44.33916204046943), np.float64(67.99153722355835), np.float64(27.702934847471113), np.float64(17.359541418780854)] | Type: Normal Sound Range
[2025-02-13_10-50-08-403] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-08-403.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(21.410101083163056), np.float64(4.339885354695213), np.float64(50.415001537042734), np.float64(44.26683061789118), np.float64(10.34339342869026), np.float64(28.136923382940637), np.float64(57.792806640024594), np.float64(67.70221153324533), np.float64(32.47680873763585)] | Type: Normal Sound Range
[2025-02-13_10-50-13-416] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-13-416.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(21.410101083163056), np.float64(10.488056273846766), np.float64(4.556879622429975), np.float64(27.775266270049368), np.float64(44.12216777273467), np.float64(50.415001537042734), np.float64(33.56178007630965), np.float64(54.682555469159695), np.float64(63.43465760112837)] | Type: Normal Sound Range
[2025-02-13_10-50-18-429] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-18-429.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(21.410101083163056), np.float64(3.978228241803946), np.float64(9.54774778032947), np.float64(43.97750492757817), np.float64(34.574419992405204), np.float64(56.05685249814651), np.float64(47.59407605649084), np.float64(27.485940579736354), np.float64(83.0364731198351)] | Type: Normal Sound Range
[2025-02-13_10-50-23-442] Confidence: 0.90 | Text: what's 33,920 | Audio: audio_logs1/speech_2025-02-13_10-50-23-442.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(21.410101083163056), np.float64(5.7865138062602846), np.float64(43.905173504999915), np.float64(33.634111498887904), np.float64(10.849713386738035), np.float64(50.12567584672972), np.float64(56.70783530135079), np.float64(83.3257988101481), np.float64(63.868646136597896)] | Type: Normal Sound Range
[2025-02-13_10-50-28-456] Confidence: 0.90 | Text: OK Google | Audio: audio_logs1/speech_2025-02-13_10-50-28-456.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(21.410101083163056), np.float64(4.195222509538707), np.float64(9.981736315798992), np.float64(43.905173504999915), np.float64(27.919929115205875), np.float64(55.83985823041175), np.float64(33.4894486537314), np.float64(50.19800726930797), np.float64(16.563895770420064)] | Type: Normal Sound Range
[2025-02-13_10-50-33-469] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-33-469.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(21.410101083163056), np.float64(4.701542467586481), np.float64(10.126399160955499), np.float64(44.04983635015642), np.float64(55.91218965299), np.float64(33.4894486537314), np.float64(27.4136091571581), np.float64(50.70432722735575), np.float64(17.576535686515616)] | Type: Normal Sound Range
[2025-02-13_10-50-38-482] Confidence: 0.90 | Text: what is 7:30 p.m. tonight | Audio: audio_logs1/speech_2025-02-13_10-50-38-482.wav | Frequencies: [np.float64(0.506319958047775), np.float64(6.582159454621074), np.float64(21.410101083163056), np.float64(33.92343718920092), np.float64(44.04983635015642), np.float64(10.415724851268513), np.float64(56.201515343303015), np.float64(40.21627095350898), np.float64(16.63622719299832), np.float64(107.12283683839352)] | Type: Normal Sound Range
[2025-02-13_10-50-43-495] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-43-495.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(5.207862425634256), np.float64(21.410101083163056), np.float64(34.574419992405204), np.float64(56.201515343303015), np.float64(40.72259091155676), np.float64(10.054067738377245), np.float64(25.894649283014775), np.float64(48.96837308547766), np.float64(16.563895770420064)] | Type: Normal Sound Range
[2025-02-13_10-50-48-508] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-48-508.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(4.846205312742988), np.float64(21.410101083163056), np.float64(10.34339342869026), np.float64(56.05685249814651), np.float64(33.56178007630965), np.float64(44.04983635015642), np.float64(50.55966438219924), np.float64(28.64324334098841), np.float64(14.82794162854198)] | Type: Normal Sound Range
[2025-02-13_10-50-53-521] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-53-521.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(5.714182383682031), np.float64(21.410101083163056), np.float64(55.7675268078335), np.float64(10.34339342869026), np.float64(33.4894486537314), np.float64(49.40236162094718), np.float64(44.26683061789118), np.float64(27.63060342489286), np.float64(17.214878573624347)] | Type: Normal Sound Range
[2025-02-13_10-50-58-555] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-50-58-555.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(21.410101083163056), np.float64(4.484548199851721), np.float64(10.34339342869026), np.float64(55.7675268078335), np.float64(27.63060342489286), np.float64(44.12216777273467), np.float64(33.27245438599664), np.float64(39.99927668577422), np.float64(67.77454295582359)] | Type: Normal Sound Range
[2025-02-13_10-51-03-568] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-03-568.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(21.410101083163056), np.float64(4.26755393211696), np.float64(32.62147158279236), np.float64(10.415724851268513), np.float64(55.98452107556826), np.float64(44.33916204046943), np.float64(69.0041771396539), np.float64(17.793529954250378), np.float64(51.427641453138285)] | Type: Normal Sound Range
[2025-02-13_10-51-08-582] Confidence: 0.90 | Text: 399 | Audio: audio_logs1/speech_2025-02-13_10-51-08-582.wav | Frequencies: [np.float64(0.506319958047775), np.float64(6.654490877199327), np.float64(21.410101083163056), np.float64(10.34339342869026), np.float64(33.56178007630965), np.float64(55.83985823041175), np.float64(16.63622719299832), np.float64(27.268946312001592), np.float64(44.556156308204194), np.float64(50.34267011446448)] | Type: Normal Sound Range
[2025-02-13_10-51-13-595] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-13-595.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(6.799153722355835), np.float64(21.410101083163056), np.float64(10.705050541581528), np.float64(55.62286396267699), np.float64(28.353917650675395), np.float64(44.33916204046943), np.float64(33.20012296341839), np.float64(17.793529954250378), np.float64(63.651651868863134)] | Type: Normal Sound Range
[2025-02-13_10-51-18-608] Confidence: 0.90 | Text: set a timer at 5:26 | Audio: audio_logs1/speech_2025-02-13_10-51-18-608.wav | Frequencies: [np.float64(0.650982803204282), np.float64(4.629211045008228), np.float64(21.410101083163056), np.float64(54.8272183143162), np.float64(10.34339342869026), np.float64(44.12216777273467), np.float64(16.63622719299832), np.float64(66.68957161714978), np.float64(49.83635015641671), np.float64(31.464168821540298)] | Type: Normal Sound Range
[2025-02-13_10-51-23-621] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-23-621.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(21.410101083163056), np.float64(6.943816567512342), np.float64(55.18887542720747), np.float64(50.34267011446448), np.float64(44.411493463047684), np.float64(66.11092023652375), np.float64(10.994376231894542), np.float64(15.551255854324516), np.float64(33.4894486537314)] | Type: Normal Sound Range
[2025-02-13_10-51-28-633] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-28-633.wav | Frequencies: [np.float64(0.506319958047775), np.float64(10.34339342869026), np.float64(21.410101083163056), np.float64(5.641850961103778), np.float64(55.7675268078335), np.float64(33.70644292146616), np.float64(44.33916204046943), np.float64(69.07650856223215), np.float64(50.631995804777496), np.float64(16.563895770420064)] | Type: Normal Sound Range
[2025-02-13_10-51-33-647] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-33-647.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(10.34339342869026), np.float64(21.410101083163056), np.float64(4.701542467586481), np.float64(55.83985823041175), np.float64(44.26683061789118), np.float64(50.12567584672972), np.float64(25.677655015280013), np.float64(33.41711723115315), np.float64(73.70571960724038)] | Type: Normal Sound Range
[2025-02-13_10-51-38-660] Confidence: 0.90 | Text: set a timer for 5:30 a.m. | Audio: audio_logs1/speech_2025-02-13_10-51-38-660.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(21.410101083163056), np.float64(6.003508073995046), np.float64(43.97750492757817), np.float64(9.981736315798992), np.float64(33.56178007630965), np.float64(49.474693043525434), np.float64(55.98452107556826), np.float64(16.563895770420064), np.float64(83.1811359649916)] | Type: Normal Sound Range
[2025-02-13_10-51-43-695] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-43-695.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(21.410101083163056), np.float64(4.0505596643822), np.float64(10.271062006112006), np.float64(55.7675268078335), np.float64(43.905173504999915), np.float64(16.2022386575288), np.float64(49.90868157899496), np.float64(25.388329324967), np.float64(34.429757147248694)] | Type: Normal Sound Range
[2025-02-13_10-51-48-708] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-51-48-708.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(34.646751414983456), np.float64(4.629211045008228), np.float64(21.410101083163056), np.float64(9.981736315798992), np.float64(43.97750492757817), np.float64(25.388329324967), np.float64(55.550532540098736), np.float64(50.84899007251225), np.float64(64.51962893980217)] | Type: Normal Sound Range
[2025-02-13_10-51-53-720] Confidence: 0.90 | Text: what's 13 * 7 | Audio: audio_logs1/speech_2025-02-13_10-51-53-720.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(5.641850961103778), np.float64(21.410101083163056), np.float64(10.271062006112006), np.float64(44.04983635015642), np.float64(36.238042711705035), np.float64(17.721198531672123), np.float64(27.919929115205875), np.float64(56.490841033616036), np.float64(68.35319433644962)] | Type: Normal Sound Range
[2025-02-13_10-51-58-734] Confidence: 0.90 | Text: 10 minutes to get half an hour please | Audio: audio_logs1/speech_2025-02-13_10-51-58-734.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(21.410101083163056), np.float64(6.003508073995046), np.float64(10.34339342869026), np.float64(55.695195385255246), np.float64(43.83284208242166), np.float64(31.60883166669681), np.float64(25.17133505723224), np.float64(17.142547151046095), np.float64(50.84899007251225)] | Type: Normal Sound Range
[2025-02-13_10-52-03-747] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-03-747.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(21.410101083163056), np.float64(4.701542467586481), np.float64(17.64886710909387), np.float64(34.21276287951393), np.float64(9.837073470642485), np.float64(44.12216777273467), np.float64(28.353917650675395), np.float64(50.92132149509051), np.float64(55.695195385255246)] | Type: Normal Sound Range
[2025-02-13_10-52-08-760] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-08-760.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(17.64886710909387), np.float64(5.569519538525524), np.float64(21.410101083163056), np.float64(10.34339342869026), np.float64(41.44590513733929), np.float64(34.646751414983456), np.float64(55.98452107556826), np.float64(63.723983291441385), np.float64(49.54702446610369)] | Type: Normal Sound Range
[2025-02-13_10-52-13-773] Confidence: 0.90 | Text: Fatburger Pacific | Audio: audio_logs1/speech_2025-02-13_10-52-13-773.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(7.016147990090595), np.float64(21.410101083163056), np.float64(32.62147158279236), np.float64(36.96135693748757), np.float64(43.83284208242166), np.float64(56.490841033616036), np.float64(16.346901502685306), np.float64(50.84899007251225), np.float64(26.545632086219058)] | Type: Normal Sound Range
[2025-02-13_10-52-18-786] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-18-786.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(6.943816567512342), np.float64(21.410101083163056), np.float64(27.99226053778413), np.float64(33.99576861177918), np.float64(37.6846711632701), np.float64(55.405869694942226), np.float64(51.21064718540352), np.float64(61.69870345925029), np.float64(14.466284515650713)] | Type: Normal Sound Range
[2025-02-13_10-52-23-799] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-23-799.wav | Frequencies: [np.float64(0.650982803204282), np.float64(34.35742572467044), np.float64(4.629211045008228), np.float64(21.410101083163056), np.float64(17.793529954250378), np.float64(39.492956727726444), np.float64(69.43816567512341), np.float64(58.009800907759356), np.float64(28.78790618614492), np.float64(9.764742048064232)] | Type: Normal Sound Range
[2025-02-13_10-52-28-813] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-28-813.wav | Frequencies: [np.float64(0.506319958047775), np.float64(7.30547368040361), np.float64(18.516844180032912), np.float64(10.922044809316288), np.float64(36.96135693748757), np.float64(32.47680873763585), np.float64(23.869369450823676), np.float64(14.900273051120234), np.float64(51.282978607981775), np.float64(28.498580495831902)] | Type: Normal Sound Range
[2025-02-13_10-52-33-847] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-33-847.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(6.509828032042821), np.float64(33.12779154084013), np.float64(10.126399160955499), np.float64(21.410101083163056), np.float64(14.972604473698487), np.float64(41.80756225023056), np.float64(27.4136091571581), np.float64(55.91218965299), np.float64(50.92132149509051)] | Type: Normal Sound Range
[2025-02-13_10-52-38-860] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-38-860.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(33.05546011826188), np.float64(7.377805102981863), np.float64(21.410101083163056), np.float64(41.80756225023056), np.float64(58.950109401276656), np.float64(29.004900453879678), np.float64(53.23592701759462), np.float64(66.32791450425852), np.float64(12.296341838303105)] | Type: Normal Sound Range
[2025-02-13_10-52-43-873] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-43-873.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(6.799153722355835), np.float64(21.410101083163056), np.float64(10.849713386738035), np.float64(55.550532540098736), np.float64(33.12779154084013), np.float64(50.12567584672972), np.float64(41.87989367280881), np.float64(27.775266270049368), np.float64(60.25207500768522)] | Type: Normal Sound Range
[2025-02-13_10-52-48-886] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-48-886.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(21.410101083163056), np.float64(5.497188115947271), np.float64(33.92343718920092), np.float64(10.126399160955499), np.float64(41.80756225023056), np.float64(66.68957161714978), np.float64(56.63550387877254), np.float64(73.0547368040361), np.float64(16.780890038154826)] | Type: Normal Sound Range
[2025-02-13_10-52-53-899] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-53-899.wav | Frequencies: [np.float64(0.506319958047775), np.float64(4.412216777273468), np.float64(21.410101083163056), np.float64(56.70783530135079), np.float64(46.00278475976926), np.float64(10.34339342869026), np.float64(66.61724019457154), np.float64(36.5996998245963), np.float64(49.691687311260196), np.float64(60.32440643026347)] | Type: Normal Sound Range
[2025-02-13_10-52-58-912] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-52-58-912.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(46.07511618234752), np.float64(21.410101083163056), np.float64(5.28019384821251), np.float64(36.093379866548524), np.float64(10.271062006112006), np.float64(50.415001537042734), np.float64(55.62286396267699), np.float64(61.62637203667204), np.float64(67.62988011066709)] | Type: Normal Sound Range
[2025-02-13_10-53-03-926] Confidence: 0.90 | Text: turn on my Bluetooth | Audio: audio_logs1/speech_2025-02-13_10-53-03-926.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(46.07511618234752), np.float64(21.410101083163056), np.float64(4.0505596643822), np.float64(10.34339342869026), np.float64(56.41850961103778), np.float64(36.093379866548524), np.float64(51.427641453138285), np.float64(68.78718287191914), np.float64(60.541400697998235)] | Type: Normal Sound Range
[2025-02-13_10-53-08-939] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-53-08-939.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(46.14744760492577), np.float64(21.410101083163056), np.float64(4.773873890164735), np.float64(10.198730583533752), np.float64(33.70644292146616), np.float64(54.97188115947271), np.float64(60.03508073995046), np.float64(50.34267011446448), np.float64(67.48521726551057)] | Type: Normal Sound Range
[2025-02-13_10-53-13-952] Confidence: 0.90 | Text: hey Google next episode | Audio: audio_logs1/speech_2025-02-13_10-53-13-952.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(46.14744760492577), np.float64(21.410101083163056), np.float64(10.271062006112006), np.float64(4.122891086960453), np.float64(36.093379866548524), np.float64(59.16710366901141), np.float64(65.45993743331947), np.float64(52.65727563696859), np.float64(83.25346738756986)] | Type: Normal Sound Range
[2025-02-13_10-53-18-965] Confidence: 0.90 | Text: set an alarm for 7:30 a.m. | Audio: audio_logs1/speech_2025-02-13_10-53-18-965.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(46.14744760492577), np.float64(21.410101083163056), np.float64(4.339885354695213), np.float64(10.271062006112006), np.float64(33.778774344044415), np.float64(54.24856693369017), np.float64(50.05334442415147), np.float64(60.469069275419976), np.float64(70.16147990090596)] | Type: Normal Sound Range
[2025-02-13_10-53-23-999] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-53-23-999.wav | Frequencies: [np.float64(0.506319958047775), np.float64(46.14744760492577), np.float64(21.410101083163056), np.float64(33.778774344044415), np.float64(6.509828032042821), np.float64(10.271062006112006), np.float64(58.805446556120145), np.float64(53.52525270790763), np.float64(17.287209996202602), np.float64(49.90868157899496)] | Type: Normal Sound Range
[2025-02-13_10-53-29-012] Confidence: 0.90 | Text: play Christmas music | Audio: audio_logs1/speech_2025-02-13_10-53-29-012.wav | Frequencies: [np.float64(0.506319958047775), np.float64(46.14744760492577), np.float64(4.629211045008228), np.float64(21.410101083163056), np.float64(10.271062006112006), np.float64(15.2619301640115), np.float64(30.234534637709988), np.float64(50.70432722735575), np.float64(56.78016672392905), np.float64(64.88128605269344)] | Type: Normal Sound Range
[2025-02-13_10-53-34-025] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_10-53-34-025.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(46.14744760492577), np.float64(21.410101083163056), np.float64(4.195222509538707), np.float64(10.271062006112006), np.float64(59.38409793674617), np.float64(68.13620006871486), np.float64(33.34478580857489), np.float64(27.19661488942334), np.float64(50.84899007251225)] | Type: Normal Sound Range
