Timestamp,Vosk Raw,Vosk Phase,Vosk AM,Vosk FM,Vosk SSB,Sphinx Raw,Sphinx Phase,Sphinx AM,Sphinx FM,Sphinx SSB,Frequencies (Hz)
2025-05-04 20:29:22,"{
  ""text"" : """"
2025-05-05 00:30:40," So I went out and speak in the movie and that information about the patient. When I say the patient she's still on the doctor's, she was admitted to the cancer period of overnight. I went to see her next morning as soon as she woke up. I literally heard her and she was my cell phone. She stopped me as I thought we were. I heard her know you from last night. It's kind of stunning so I say no. The phone you were out cold, my cell phone you've stayed with. I was, I was, I was thinking, what am I going to be searching down the hall? I said, that's from the doctor. I was just talking about. I said, it was always playing a trick on me here. But then she might have been telling me about the conversation I had with her movie. Well I said, look now, the answer is, we were all bearing the fine details. And I didn't know how she could know more this. So that's for you."," I was mostly programmed to be associated with all. That's from that, that's from the most recent time of the year. But then she learned to tell me about the conversation I had with her when I said, well, I'm not sure if I'm going to be able to do it. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. I was just thinking about the conversation. The fun beaters.",, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.," So I went out and speak in the movie and that information about the patient. When I say the patient she's still on the doctor's, she was admitted to the cancer period of overnight. I went to see her next morning as soon as she woke up. I literally heard her and she was my cell phone. She stopped me as I thought we were. I heard her know you from last night. It's kind of stunning so I say no. The phone you were out cold, my cell phone you've stayed with. I was, I was, I was thinking, what am I going to be searching down the hall? I said, that's from the doctor. I was just talking about. I said, it was always playing a trick on me here. But then she might have been telling me about the conversation I had with her movie. Well I said, look now, the answer is, we were all bearing the fine details. And I didn't know how she could know more this. So that's for you.","177.9, 181.6, 390.6, 179.4, 15.7, 181.8, 179.8, 175.3, 175.5, 186.6"
2025-05-05 00:30:58, and we're talking about everything. There was no time that the experience was more real than anything to be real. There's also an overpowering feeling for all the people that are there that you're looking also at every tree and diving camera. There's just overpowering similarity of people talking about undigestionable love for it and that you get better to value about by that light or not. Whether the light becomes a religious figure for them or not.," And we're part of everything. There was no time that the experience was more real than anything to be real. There's also an overpowering feeling for all the people that are there that you're looking also at every tree and diving camera. There's just overpowering, similarity, but people talk about undigestion of love, and that you get better to value about by that light or not. Whether the light becomes a religious figure for them or not.",, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., and we're talking about everything. There was no time that the experience was more real than anything to be real. There's also an overpowering feeling for all the people that are there that you're looking also at every tree and diving camera. There's just overpowering similarity of people talking about undigestionable love for it and that you get better to value about by that light or not. Whether the light becomes a religious figure for them or not.,"16.2, 15.7, 16.2, 16.1, 12.5, 16.4, 16.3, 16.2, 16.0, 12.0"
2025-05-05 00:32:09," I'm not sure if I can do that at all, but I'll clean my life for the record. This is big live-in, or she can even be cheated on that, but she has aint on your time. But, when I turned it over to her, she was covered up on her left foot. I opened the tiff up for no maintenance, and I had nightly leave in her gym. And I closed it again for her, so it all took a little bit of a bit to see that spot. And somehow, patients on questionable time knew about it. So, when you're first starting to talk about this, or have the courage to actually mention, you know, things that you've had experienced with patients, and you, uh, when we're being obedient to Indians, even when we're calling them back, you have a lot of criticism and criticism. Well, I think I did not get much to do with some of that, but I understand that."," Autism. Well, I did not crystal clear something that I understand. I'm afraid of that at all. I think my life is a bit red with this. Yeah, this is a big value. She even remembers she knew that. But she has gained on her time. But, but, but, that way I turned it over to this pepper up on my lower level. I opened it to fuck real big news and I had like, make a new dream. And I also again for this. It's an older little bit of seeing that spot. And somehow, patients on questionable time do about it. So, when you're first starting to talk about this or have the courage to actually mention the things that you've experienced with patients and you, uh, before being obedient to Indians, even when we're calling them that, you have a lot of criticism in.", I'm not going to let you go. I'll think about what you're going to do with yourself. This is the Mario Kart. She didn't make a scene here. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it. You're not going to let me do it., I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.," I'm not sure if I can do that at all, but I'll clean my life for the record. This is big live-in, or she can even be cheated on that, but she has aint on your time. But, when I turned it over to her, she was covered up on her left foot. I opened the tiff up for no maintenance, and I had nightly leave in her gym. And I closed it again for her, so it all took a little bit of a bit to see that spot. And somehow, patients on questionable time knew about it. So, when you're first starting to talk about this, or have the courage to actually mention, you know, things that you've had experienced with patients, and you, uh, when we're being obedient to Indians, even when we're calling them back, you have a lot of criticism and criticism. Well, I think I did not get much to do with some of that, but I understand that.","170.4, 13.3, 179.0, 178.8, 171.1, 11.9, 180.1, 181.3, 181.5, 12.3"
2025-05-05 00:32:25," Um, the point is to look at the individual's acceleration work, by seeing something similar to the people whose brains were obviously not functional at all, and yet they describe the cost, this is more of a knitted at the end of the form. And they have memories that were sharper than there was about the effects of the snapshot in their life, that he's happy to give it to. So that tells you what? That it is not oscillation, it is not even a quote-unmurled memory, because they remember social-operability. But there's some sort of fear that the brain, that might just might be reading at the brain. That's the implication, yes. That the mind does get functioned very well, and prays not. And there's no Netflix relationship or how that would be. Okay, many people in your area use similar phrases like during the experience, they do everything.", the similar phrases like during the six periods they knew everything home the important is to look at the habitual situation for it by seeing something some things that also people who springs for obviously not function well at all and yet they describe the cost this is more of a day than ever before and they have memories that were sharper than there is other types of sentiment on their life that he's happy to give it to them. So that tells you what? That it is not hallucination. There's not even a quote more of memory because they remember social of Italy. There's some weird on the screen that my mind just might be reading that right. That's the implication that's that that my mind just is functioned very well and pray this month and this old Netflix relation will have that to be.," I'm trying to use one for which I was the expression for. Last thing something sounds like it was playing so long, because it's not functional at all. And it is right across this as well, never had it before. And there are no ways that we shall be the response of such a time in life. But it is not the difference to that close to what. It is not illustration. It is not human-a-peak-one-born memory. It is a word of resource-wrecking-leaf. There is something we have in the light, but the light is not the light. That's the implication of this. Yes, but there are no more business structures in the world. There is no end result. There is no explanation of it. Okay, many people will give you a view of the use of the phrase in this list. And the screams, they do everything.", I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.," Um, the point is to look at the individual's acceleration work, by seeing something similar to the screens where obviously not functional at all, and get the described the cost, this is more of a nid in that number before. And they have memories that were sharper than there was about the effects of the sound time in life, that he's happy to give it to. So that tells you what? That it is not oscillation, it is not even a quote more of a nid because they remember social or a nid. But there's some sort of a fear that the frame that might just might be read in the brain. That's the implication, yes. That the mic is distortion very well, and the frame is not. And there's no net-less relation to how that would be. Okay, many people in your area use similar phrases like during the screens, they do everything.","181.9, 11.4, 180.5, 178.8, 176.6, 182.1, 179.5, 16.7, 175.9, 179.3"
2025-05-05 00:33:17,, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"11.8, 16.6, 13.2, 9.9, 10.6, 12.2, 12.2, 10.7, 12.0, 12.3"
2025-05-05 00:33:40,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,"16.5, 11.4, 12.7, 11.6, 12.7, 10.6, 11.7, 11.5, 12.5, 12.5"
2025-05-05 00:34:23,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"13.7, 12.6, 12.3, 11.5, 11.3, 12.6, 12.0, 16.5, 16.9, 12.6"
2025-05-05 00:35:12,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"12.2, 11.8, 14.2, 16.1, 16.4, 16.2, 11.3, 12.1, 12.4, 12.5"
2025-05-05 00:35:31, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,"13.8, 12.3, 10.3, 12.6, 12.7, 9.7, 12.4, 11.3, 15.9, 15.5"
2025-05-05 00:36:22,, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"13.7, 12.4, 11.6, 11.3, 12.0, 11.5, 11.8, 11.5, 12.3, 12.3"
2025-05-05 00:37:00,, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"11.9, 13.1, 12.4, 15.1, 15.0, 11.6, 16.2, 23.7, 14.0, 16.0"
2025-05-05 00:37:09,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"12.3, 10.9, 16.2, 16.6, 12.5, 12.8, 12.1, 11.7, 11.7, 12.7"
2025-05-05 00:38:49, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,"12.2, 11.5, 11.9, 12.1, 11.8, 16.3, 14.1, 12.4, 11.4, 12.8"
2025-05-05 00:38:56,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"11.4, 13.6, 16.1, 11.9, 12.5, 12.1, 11.5, 16.5, 12.6, 12.0"
2025-05-05 00:39:45, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,"11.7, 13.0, 16.1, 12.7, 10.9, 10.9, 16.7, 16.2, 12.2, 11.8"
2025-05-05 00:39:46,, I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one. I'm going to go to the next one.,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"12.5, 11.9, 16.4, 12.2, 14.9, 12.9, 11.4, 12.4, 12.7, 12.0"
2025-05-05 00:40:48,,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"10.3, 14.9, 11.8, 16.2, 11.9, 13.4, 15.9, 12.8, 13.8, 11.3"
